2026-02-23 15:58:06 status unpacked libspeex1:amd64 1.2.1-3
2026-02-23 15:58:06 install libsvtav1enc2:amd64 <none> 2.3.0+dfsg-1
2026-02-23 15:58:06 status half-installed libsvtav1enc2:amd64 2.3.0+dfsg-1
2026-02-23 15:58:06 status unpacked libsvtav1enc2:amd64 2.3.0+dfsg-1
2026-02-23 15:58:06 install libsoxr0:amd64 <none> 0.1.3-4+b2
2026-02-23 15:58:06 status half-installed libsoxr0:amd64 0.1.3-4+b2
2026-02-23 15:58:06 status unpacked libsoxr0:amd64 0.1.3-4+b2
2026-02-23 15:58:06 install libswresample5:amd64 <none> 7:7.1.3-0+deb13u1
2026-02-23 15:58:06 status half-installed libswresample5:amd64 7:7.1.3-0+deb13u1
2026-02-23 15:58:06 status unpacked libswresample5:amd64 7:7.1.3-0+deb13u1
2026-02-23 15:58:06 install libtheoradec1:amd64 <none> 1.2.0~alpha1+dfsg-6
2026-02-23 15:58:06 status half-installed libtheoradec1:amd64 1.2.0~alpha1+dfsg-6
2026-02-23 15:58:06 status unpacked libtheoradec1:amd64 1.2.0~alpha1+dfsg-6
2026-02-23 15:58:06 install libogg0:amd64 <none> 1.3.5-3+b2
2026-02-23 15:58:06 status half-installed libogg0:amd64 1.3.5-3+b2
2026-02-23 15:58:06 status unpacked libogg0:amd64 1.3.5-3+b2
2026-02-23 15:58:06 install libtheoraenc1:amd64 <none> 1.2.0~alpha1+dfsg-6
2026-02-23 15:58:06 status half-installed libtheoraenc1:amd64 1.2.0~alpha1+dfsg-6
2026-02-23 15:58:06 status unpacked libtheoraenc1:amd64 1.2.0~alpha1+dfsg-6
2026-02-23 15:58:06 install libtwolame0:amd64 <none> 0.4.0-2+b2
2026-02-23 15:58:06 status half-installed libtwolame0:amd64 0.4.0-2+b2
2026-02-23 15:58:06 status unpacked libtwolame0:amd64 0.4.0-2+b2
2026-02-23 15:58:06 install libvorbis0a:amd64 <none> 1.3.7-3
2026-02-23 15:58:06 status half-installed libvorbis0a:amd64 1.3.7-3
2026-02-23 15:58:06 status unpacked libvorbis0a:amd64 1.3.7-3
2026-02-23 15:58:06 install libvorbisenc2:amd64 <none> 1.3.7-3
2026-02-23 15:58:06 status half-installed libvorbisenc2:amd64 1.3.7-3
2026-02-23 15:58:06 status unpacked libvorbisenc2:amd64 1.3.7-3
2026-02-23 15:58:06 install libvpx9:amd64 <none> 1.15.0-2.1+deb13u1
2026-02-23 15:58:06 status half-installed libvpx9:amd64 1.15.0-2.1+deb13u1
2026-02-23 15:58:07 status unpacked libvpx9:amd64 1.15.0-2.1+deb13u1
2026-02-23 15:58:07 install libwebpmux3:amd64 <none> 1.5.0-0.1
2026-02-23 15:58:07 status half-installed libwebpmux3:amd64 1.5.0-0.1
2026-02-23 15:58:07 status unpacked libwebpmux3:amd64 1.5.0-0.1
2026-02-23 15:58:07 install libx264-164:amd64 <none> 2:0.164.3108+git31e19f9-2+b1
2026-02-23 15:58:07 status half-installed libx264-164:amd64 2:0.164.3108+git31e19f9-2+b1
2026-02-23 15:58:07 status unpacked libx264-164:amd64 2:0.164.3108+git31e19f9-2+b1
2026-02-23 15:58:07 install libnuma1:amd64 <none> 2.0.19-1
2026-02-23 15:58:07 status half-installed libnuma1:amd64 2.0.19-1
2026-02-23 15:58:07 status unpacked libnuma1:amd64 2.0.19-1
2026-02-23 15:58:07 install libx265-215:amd64 <none> 4.1-2
2026-02-23 15:58:07 status half-installed libx265-215:amd64 4.1-2
2026-02-23 15:58:07 status unpacked libx265-215:amd64 4.1-2
2026-02-23 15:58:07 install libxvidcore4:amd64 <none> 2:1.3.7-1+b2
2026-02-23 15:58:07 status half-installed libxvidcore4:amd64 2:1.3.7-1+b2
2026-02-23 15:58:07 status unpacked libxvidcore4:amd64 2:1.3.7-1+b2
